x,y,etiqueta
"""0.149""",-0.2487,0.0
-0.0415,-0.1681,0.0
0.1943,"'0.2242""",0.0
0.4569,0.1831,0.0
"""-0.0702""",-0.0063,"""0.0"""
-0.0702,0.0352,'0.0'
0.4738,0.3833,0.0
0.2302,'-0.1775',0.0
-0.1408,"""0.1641""","""0.0"""
0.1628,-0.0607,'0.0'
"'-0.139""","'-0.0653""","'0.0"""
'-0.1397',0.3296,0.0
0.0726,0.2476,0.0
-0.574,0.2441,0.0
-0.5175,"'0.3916""","'0.0"""
'-0.1687',0.0063,0.0
"""-0.3038""",0.2046,0.0
'0.0943','-0.0931',0.0
-0.2724,0.0972,"'0.0"""
-0.4237,'-0.039','0.0'
0.4397,"""0.0291""",0.0
'-0.0677',0.1785,0.0
0.0203,"'-0.2455""",0.0
'-0.4274','0.6277',0.0
-0.1633,"""-0.3018""",0.0
0.0333,'-0.3643',0.0
-0.3453,0.3474,"'0.0"""
0.1127,0.2375,0.0
-0.1802,0.1872,0.0
'-0.0875','0.1885',0.0
-0.1805,-0.0037,0.0
'0.5557',-0.2692,0.0
"""-0.004""",0.0227,0.0
-0.3173,-0.2031,0.0
"'0.2468""",0.2925,0.0
-0.3663,-0.0441,0.0
"""0.0627""","""-0.2476""",0.0
'-0.5879',-0.0964,0.0
-0.3985,0.1239,0.0
0.0591,-0.1691,0.0
"""0.2215""",-0.2467,0.0
0.0514,'0.0731',0.0
-0.0347,0.0735,0.0
-0.0903,-0.1521,0.0
-0.4436,-0.1413,"""0.0"""
'-0.216',0.0696,0.0
-0.1382,"'-0.4344""",0.0
'0.3171',-0.4222,0.0
"""0.1031""",-0.2155,0.0
-0.5289,-0.064,'0.0'
0.0972,0.0933,"'0.0"""
-0.1155,0.4426,0.0
-0.2031,"""0.2573""",0.0
0.1835,-0.048,0.0
"'0.3093""",-0.0057,0.0
0.2794,'-0.3008',0.0
"""-0.2518""",-0.0056,"""0.0"""
-0.0928,-0.0866,'0.0'
"'0.0994""","'0.0968""","'0.0"""
'0.2927','-0.2482','0.0'
-0.1438,0.1558,0.0
'-0.0557','0.4598',0.0
-0.3319,"'-0.0326""","'0.0"""
-0.3589,0.1205,0.0
"""0.2438""",0.207,"""0.0"""
'0.4069','-0.1204',0.0
-0.0216,0.0672,0.0
0.3011,0.0038,'0.0'
0.1085,0.0293,0.0
-0.1935,'-0.2319',0.0
"'0.1084""","'0.0074""",0.0
0.4614,'0.1494',0.0
-0.0107,"""0.4353""","""0.0"""
'0.4694','0.2878','0.0'
-0.7859,0.646,0.0
0.2466,'-0.2302','0.0'
0.0261,"""0.2617""",0.0
-0.0897,0.055,'0.0'
0.0275,0.6569,0.0
-0.5963,'-0.2425','0.0'
"""-0.0659""",-0.2519,0.0
0.1071,-0.1798,0.0
"'0.4434""","'-0.6372""",0.0
-0.1555,-0.1577,'0.0'
-0.2425,-0.2277,"""0.0"""
-0.1505,'0.0451','0.0'
"'0.2746""","'0.1025""",0.0
0.0986,0.5629,'0.0'
-0.1589,0.2851,"""0.0"""
0.154,-0.1731,0.0
"'0.0291""",-0.2695,"'0.0"""
0.2906,'0.1476',0.0
-0.2106,-0.3961,"""0.0"""
'-0.0983',0.5494,0.0
"'-0.1176""","'0.3538""",0.0
-0.4391,-0.1408,0.0
"""0.0888""","""-0.5139""",0.0
'0.0783',0.4062,0.0
0.0015,"'-0.0344""","'0.0"""
-0.0704,'0.3713','0.0'
-0.4246,-0.4783,0.0
-0.1262,-0.1798,0.0
-0.1028,0.0016,0.0
'-0.2407',0.0141,0.0
-0.0484,"""-0.135""","""0.0"""
'0.1212',0.1869,0.0
"'0.5659""",-0.3203,0.0
'0.0524','-0.0427',0.0
"""0.0773""","""0.0361""",0.0
-0.0223,'0.1543',0.0
-0.5756,"'0.2135""","'0.0"""
-0.008,-0.3374,0.0
0.0181,-0.4602,0.0
0.739,0.3833,0.0
-0.0577,"'0.0997""",0.0
0.0905,'-0.2245',0.0
-0.0104,0.4653,"""0.0"""
'-0.3506',0.0347,0.0
"'0.3428""",0.3538,0.0
0.2256,'0.0203',0.0
0.2373,"""0.6182""",0.0
-0.2728,0.5266,'0.0'
"'0.4208""","'-0.0747""","'0.0"""
-0.4206,'0.2915','0.0'
0.1761,0.1936,0.0
0.6571,'0.4106',0.0
-0.2972,-0.2895,0.0
-0.1699,0.2058,0.0
0.0299,0.3175,0.0
'-0.151',-0.5276,0.0
-0.4652,-0.355,0.0
'0.0206',-0.6118,0.0
-0.3187,-0.0808,0.0
0.1421,0.2153,0.0
"'-0.2758""",0.4507,0.0
0.465,0.0222,0.0
"""-0.235""",0.4886,"""0.0"""
'-0.0966',-0.414,0.0
"'0.2441""","'-0.511""","'0.0"""
-0.3693,-0.0167,0.0
"""0.0682""",0.1152,"""0.0"""
'0.3921',-0.0098,0.0
-0.4822,-0.6202,0.0
0.0554,'-0.0267',0.0
"""0.078""","""-0.3913""",0.0
'0.2345','0.2009',0.0
"'-0.3711""","'0.11""",0.0
-0.3961,'-0.282','0.0'
0.1566,-0.1542,0.0
0.0891,-0.3178,'0.0'
"'0.0751""",-0.0188,0.0
0.1039,0.2865,0.0
-0.204,"""-0.2957""",0.0
0.0697,'0.1512','0.0'
"'0.0879""","'-0.1591""",0.0
'-0.2143',-0.2379,0.0
"""0.5597""",-0.0321,0.0
'0.1421','-0.3106',0.0
-0.3574,-0.1661,0.0
0.197,'-0.3594','0.0'
-0.2924,0.5894,0.0
0.2361,0.0106,'0.0'
"'0.3476""",-0.2099,0.0
-0.2462,'0.0642',0.0
0.289,-0.0337,0.0
'0.1238',-0.0663,0.0
"'0.2466""",0.1843,0.0
'0.569',0.2273,0.0
-0.0736,"""-0.1592""","""0.0"""
'-0.2261',-0.1727,0.0
-0.2669,"'-0.0825""",0.0
-0.2447,-0.6906,0.0
-0.0231,-0.4546,0.0
0.1023,0.4101,'0.0'
"'0.083""",0.4935,0.0
0.2482,-0.0747,'0.0'
"""0.0039""",0.173,0.0
0.4361,'0.0934','0.0'
"'-0.0794""","'0.9237""",0.0
0.8161,'0.3359',0.0
0.1877,-0.0384,0.0
'-0.2571','-0.2867',0.0
-0.3213,"'-0.4819""",0.0
'0.1447',0.061,'0.0'
-0.067,-0.2269,"""0.0"""
'0.2142',-0.4267,'0.0'
0.142,-0.194,0.0
'-0.0218',-0.3245,0.0
"""-0.254""","""0.5061""",0.0
'-0.4545','0.2645',0.0
"'-0.134""",-0.0024,"'0.0"""
'0.2569',0.444,0.0
"""0.0642""",0.0232,"""0.0"""
-0.3737,-0.2584,'0.0'
"'0.052""",0.4569,0.0
0.1156,0.1617,0.0
-0.2652,-0.3112,0.0
0.0461,-0.0571,0.0
"'0.0175""",-0.2627,"'0.0"""
-0.3429,'-0.4148','0.0'
0.1073,"""0.2779""","""0.0"""
0.1682,0.5728,'0.0'
0.3249,-0.4196,0.0
0.3161,'0.1689','0.0'
"""-0.4133""",-0.1952,0.0
-0.2813,-0.1461,0.0
0.1545,-0.1777,0.0
'0.1541',-0.2592,0.0
0.1545,0.0146,0.0
1.1558,-0.2493,0.0
0.1713,"'0.0811""",0.0
0.3407,-0.0151,0.0
0.2862,"""-0.0717""",0.0
0.1954,-0.2723,0.0
"'-0.0946""",-0.173,"'0.0"""
0.2277,0.2266,0.0
-0.2318,0.1503,"""0.0"""
'-0.071',-0.2933,0.0
"'-0.1456""","'0.0298""",0.0
'0.0246',0.2254,0.0
0.6944,-0.5008,0.0
-0.5602,0.163,'0.0'
0.2059,-0.1988,0.0
-0.4838,'0.1712',0.0
-0.1416,-0.229,0.0
0.3267,'-0.5415',0.0
"'0.0193""","'-0.4883""","'0.0"""
-0.3233,'0.0144',0.0
-0.2146,"""0.0779""",0.0
0.2039,-0.2713,0.0
-0.2191,"'0.1916""",0.0
'0.0649',-0.4985,'0.0'
0.0137,"""-0.0198""",0.0
-0.1955,'-0.3633',0.0
0.6432,-0.1956,0.0
'0.1902',0.0142,0.0
-0.6075,-0.2581,0.0
0.0559,'-0.1154',0.0
-0.1985,0.3019,0.0
0.2557,'-0.1731',0.0
-0.2378,"""0.2507""",0.0
-0.0344,-0.3389,0.0
0.1515,"'0.1589""",0.0
'0.2597',0.4325,0.0
-0.3601,-0.7415,"""0.0"""
-0.1004,'-0.2391',0.0
-0.1425,0.1731,0.0
-0.196,'-0.0609',0.0
"""0.5296""",0.1113,"""0.0"""
0.1215,-0.1812,0.0
-0.3783,0.026,"'0.0"""
0.2754,-0.0467,'0.0'
"""0.6366""",0.3503,0.0
'0.3097',0.0763,'0.0'
-0.4558,0.1013,"'0.0"""
'-0.1453',-0.1236,0.0
0.3801,-0.1463,0.0
-0.2123,'-0.1298',0.0
0.1331,0.1183,"'0.0"""
0.2324,-0.1263,0.0
-0.2781,"""0.0869""",0.0
-0.0179,0.6226,'0.0'
-0.9724,"'0.2613""",0.0
'-0.3073','-0.0978',0.0
-0.0758,0.3604,"""0.0"""
-0.3743,-0.1224,0.0
"'0.4897""",-0.6114,0.0
-0.429,'-0.3024','0.0'
-0.132,"""-0.5612""",0.0
'0.0392',-0.1055,'0.0'
"'0.4324""","'0.0055""","'0.0"""
-0.4308,0.5029,0.0
"""0.3489""","""0.0981""","""0.0"""
0.0031,-0.0657,0.0
-0.2945,0.2488,0.0
0.1386,-0.6633,0.0
0.0597,"""0.0707""",0.0
'-0.1801',0.2313,0.0
0.0209,-0.4436,0.0
-0.1156,'0.3431','0.0'
"""0.0341""",0.1015,"""0.0"""
0.1986,-0.1246,0.0
0.4758,"'0.1898""",0.0
-0.3713,0.6812,0.0
0.6399,0.0546,0.0
-0.5856,0.0745,'0.0'
-0.0455,"'-0.1378""",0.0
0.1765,'-0.255',0.0
"""0.0843""",0.2491,0.0
'-0.1868',-0.2568,'0.0'
-0.0624,"'0.0215""",0.0
-0.1479,'-0.1433',0.0
-0.1768,0.1437,0.0
'0.2549',0.1001,'0.0'
0.1071,0.3113,0.0
-0.2079,-0.153,'0.0'
0.2699,"""-0.081""",0.0
0.0922,-0.2936,'0.0'
0.2439,-0.1333,0.0
'0.1889',0.1132,0.0
0.4812,3.6704,1.0
'-0.5371',-3.0493,'1.0'
-0.6897,"'-3.6198""",1.0
-2.2034,-2.7028,1.0
"""-1.3338""",-3.6294,1.0
-3.1892,-0.8773,1.0
-0.0403,3.5691,1.0
'-2.1716',3.1656,1.0
1.2885,"""2.811""","""1.0"""
'3.225',-2.0909,'1.0'
-3.1336,-1.8107,"'1.0"""
-2.486,1.786,1.0
-3.1781,"""0.7734""",1.0
3.4396,'-1.1829',1.0
"'1.7464""",2.5134,1.0
'-3.0193',-1.8172,1.0
"""-3.309""","""-0.1225""",1.0
-2.7213,'-2.2934',1.0
3.0215,0.3453,1.0
2.6272,-2.7239,1.0
